order_id,sales,profit,quantity,category,sub_category,Cost,Total_Cost,Total_profit,order_date,customer_name,city,country,region,segment,ship_date,ship_mode,lon,lat
AZ-2011-2320734,13,2,1,Office Supplies,Paper,11,11,2,10/20/2011,Charlie Wells,Saint-Ouen,France,Central,Home Office,10/25/2011,Economy,2.333764,48.911856
AZ-2014-1914770,92,42,2,Office Supplies,Art,50,50,84,11/6/2014,Cooper Burn,Hove,United Kingdom,North,Consumer,11/9/2014,Priority,-0.168749,50.827931899999996
BN-2011-5443120,205,-127,8,Office Supplies,Art,332,332,-1016,4/9/2011,Kaitlyn Dorsch,Coimbra,Portugal,South,Corporate,4/11/2011,Economy Plus,-8.4102573,40.203314500000005
BN-2014-2645644,48,-22,2,Office Supplies,Storage,70,70,-44,8/16/2014,Jeremy Pilcher,The Hague,Netherlands,Central,Corporate,8/17/2014,Priority,4.300699900000001,52.07049779999999
AZ-2012-9764957,75,26,5,Office Supplies,Fasteners,17,49,130,5/11/2012,Abbie Perry,Hamburg,Germany,Central,Consumer,5/15/2012,Economy,9.993681800000001,53.5510846
AZ-2013-5719967,304,72,3,Technology,Machines,232,232,216,12/26/2013,Mark Harris,Le Chesnay,France,Central,Consumer,1/1/2014,Economy,2.130544,48.825415
AZ-2012-2193596,34,15,3,Office Supplies,Labels,19,19,45,11/20/2012,Millie Newman,Paris,France,Central,Consumer,11/24/2012,Economy,2.3522218999999995,48.856614
AZ-2013-3174742,107,9,4,Office Supplies,Art,98,98,36,3/11/2013,Ralph Holmes,Catania,Italy,South,Consumer,3/15/2013,Economy,15.0830304,37.5078772
BN-2014-6632260,385,-77,11,Furniture,Furnishings,462,462,-847,9/30/2014,Callum Hagai,Sale,United Kingdom,North,Home Office,10/5/2014,Economy,-2.323702,53.425561
AZ-2014-4622829,281,129,9,Office Supplies,Envelopes,46,152,1161,11/6/2014,William Somerville,Rome,Italy,South,Corporate,11/11/2014,Economy,12.4963655,41.902783500000005
AZ-2014-1698292,79,32,3,Office Supplies,Art,47,47,96,3/31/2014,Max Ronald,Offenbach,Germany,Central,Corporate,4/4/2014,Economy,8.7760843,50.0956362
AZ-2011-804486,26,12,3,Office Supplies,Labels,14,14,36,4/20/2011,Eve Spencer,Lowestoft,United Kingdom,North,Consumer,4/26/2011,Economy,1.7534490000000003,52.481138
AZ-2011-6705309,234,110,5,Office Supplies,Art,124,124,550,12/28/2011,Carley Wynn,Turin,Italy,South,Home Office,1/1/2012,Economy Plus,7.6868565,45.070312
AZ-2013-3932419,30,12,2,Office Supplies,Fasteners,18,18,24,3/21/2013,Koby Tompson,Santander,Spain,South,Consumer,3/23/2013,Economy Plus,-3.8099803,43.4623057
AZ-2014-1661689,97,11,2,Office Supplies,Paper,86,86,22,4/4/2014,Hollie Norris,Tourcoing,France,Central,Consumer,4/8/2014,Economy,3.16207,50.724993
BN-2013-9987561,26,-2,4,Office Supplies,Labels,28,28,-8,8/20/2013,Eric Anderson,Le Mans,France,Central,Home Office,8/27/2013,Economy,0.19955599999999998,48.00611
AZ-2013-3001151,9,1,1,Office Supplies,Storage,8,8,1,8/12/2013,Jake Barry,Rome,Italy,South,Home Office,8/17/2013,Economy,12.4963655,41.902783500000005
AZ-2014-7906967,366,84,3,Furniture,Bookcases,282,282,252,7/14/2014,Jessie White,Rome,Italy,South,Consumer,7/16/2014,Economy Plus,12.4963655,41.902783500000005
AZ-2011-6634822,514,92,3,Furniture,Bookcases,422,422,276,8/21/2011,Isabella Secombe,Madrid,Spain,South,Consumer,8/21/2011,Immediate,-3.7037902000000003,40.4167754
AZ-2014-1406790,118,25,4,Technology,Accessories,93,93,100,5/29/2014,David Mortlock,Lyon,France,Central,Consumer,6/2/2014,Economy,4.835659,45.764043
AZ-2012-6550286,79,36,4,Office Supplies,Supplies,43,43,144,6/1/2012,Jeffrey Laird,Avignon,France,Central,Corporate,6/6/2012,Economy,4.805528,43.949317
AZ-2011-3308302,152,12,8,Office Supplies,Supplies,140,140,96,6/7/2011,Carrie Boots,Evreux,France,Central,Corporate,6/9/2011,Economy Plus,1.151361,49.027012899999995
BN-2014-8509634,1061,-36,8,Furniture,Bookcases,1097,1097,-288,4/7/2014,Tia Metcalfe,Marseille,France,Central,Consumer,4/12/2014,Economy,5.36978,43.296482
AZ-2014-7242450,498,-116,4,Office Supplies,Storage,614,614,-464,4/15/2014,Imogen Steele,Naples,Italy,South,Corporate,4/21/2014,Economy,14.268124400000001,40.851774600000006
AZ-2014-6360899,75,29,1,Office Supplies,Appliances,46,46,29,1/26/2014,Britney Basaldua,Paris,France,Central,Corporate,1/31/2014,Economy,2.3522218999999995,48.856614
AZ-2011-7647834,166,76,10,Office Supplies,Paper,90,90,760,12/22/2011,Alana Tyson,Portsmouth,United Kingdom,North,Home Office,12/26/2011,Economy,-1.0879769,50.8197675
AZ-2013-7710840,11,2,1,Office Supplies,Binders,9,9,2,6/13/2013,Robert Neil,Palma de Mallorca,Spain,South,Consumer,6/16/2013,Economy Plus,2.6501603,39.5696005
AZ-2011-8727445,60,22,4,Office Supplies,Art,38,38,88,7/8/2011,Mia McLean,Hamburg,Germany,Central,Corporate,7/14/2011,Economy,9.993681800000001,53.5510846
BN-2011-303096,383,-77,1,Technology,Phones,460,460,-77,10/24/2011,Sandra Hooks,Ferrara,Italy,South,Corporate,10/28/2011,Economy,11.619786999999999,44.838123700000004
AZ-2012-2130534,61,28,2,Office Supplies,Binders,33,33,56,3/17/2012,Rita McCann,Espoo,Finland,North,Consumer,3/22/2012,Economy Plus,24.6559001,60.205491099999996
BN-2014-1528026,276,-21,2,Technology,Phones,297,297,-42,11/24/2014,Abby Colebe,Vigo,Spain,South,Consumer,11/29/2014,Economy,-8.720726800000001,42.2405989
AZ-2013-308992,278,62,3,Technology,Machines,216,216,186,2/12/2013,Lucas Warren,Haguenau,France,Central,Consumer,2/14/2013,Priority,7.79125,48.813288
AZ-2012-5149615,96,9,2,Office Supplies,Supplies,87,87,18,11/2/2012,Desiree Hurt,Vigo,Spain,South,Home Office,11/8/2012,Economy,-8.720726800000001,42.2405989
AZ-2013-3298349,128,34,6,Office Supplies,Binders,34,94,204,8/22/2013,Rhys Barnett,Vienna,Austria,Central,Consumer,8/26/2013,Economy,16.3738189,48.208174299999996
AZ-2011-6222257,193,62,6,Office Supplies,Supplies,131,131,372,3/14/2011,Koby Phillip,Bonn,Germany,Central,Consumer,3/16/2011,Priority,7.0982068,50.737429999999996
BN-2012-6754964,13,3,2,Office Supplies,Binders,10,10,6,4/27/2012,Mike Obrien,Chemnitz,Germany,Central,Consumer,5/2/2012,Economy,12.921369699999998,50.827845
AZ-2011-1278696,28,10,2,Office Supplies,Fasteners,18,18,20,3/10/2011,Naomi Hancock,Coventry,United Kingdom,North,Corporate,3/17/2011,Economy,-1.519693,52.406822
AZ-2012-3052535,53,22,2,Office Supplies,Storage,31,31,44,2/15/2012,Rory Gunson,Hinckley,United Kingdom,North,Consumer,2/17/2012,Economy Plus,-1.37667,52.5454549
AZ-2013-1611944,325,75,6,Office Supplies,Appliances,250,250,450,3/1/2013,Ngoc Orozco,Fano,Italy,South,Home Office,3/8/2013,Economy,13.0194201,43.8398164
AZ-2012-5139893,2123,125,8,Technology,Machines,1998,1998,1000,7/3/2012,Donna Nash,Montpellier,France,Central,Corporate,7/7/2012,Economy,3.8767160000000005,43.610769
AZ-2012-3389949,478,239,7,Office Supplies,Appliances,239,239,1673,3/26/2012,Rory Gunson,Hasselt,Belgium,Central,Consumer,3/26/2012,Immediate,5.33248,50.930690000000006
AZ-2012-5108667,1622,534,3,Technology,Phones,1088,1088,1602,8/2/2012,Holly Black,Pontivy,France,Central,Home Office,8/7/2012,Economy,-2.967056,48.066152
AZ-2012-6540731,52,16,5,Office Supplies,Labels,36,36,80,9/17/2012,Elise Godfrey,Viersen,Germany,Central,Consumer,9/23/2012,Economy,6.3965235,51.255498700000004
AZ-2013-8869856,10,2,1,Office Supplies,Storage,8,8,2,10/18/2013,Joan Douglas,Madrid,Spain,South,Corporate,10/18/2013,Immediate,-3.7037902000000003,40.4167754
AZ-2013-267160,85,3,3,Technology,Accessories,82,82,9,5/30/2013,Owen Howell,Offenburg,Germany,Central,Home Office,6/2/2013,Priority,7.949801700000001,48.473451000000004
AZ-2014-2860692,1235,469,3,Furniture,Bookcases,766,766,1407,2/14/2014,Alice Black,Brindisi,Italy,South,Home Office,2/18/2014,Economy,17.9417616,40.6327278
AZ-2012-5292659,53,22,2,Office Supplies,Art,31,31,44,8/4/2012,Lilly Akhtar,Cuneo,Italy,South,Home Office,8/7/2012,Priority,7.5426711,44.3844766
BN-2014-6482721,1030,206,8,Technology,Copiers,824,824,1648,3/17/2014,Tyler Duncan,Duisburg,Germany,Central,Home Office,3/21/2014,Economy Plus,6.7623293,51.4344079
AZ-2013-1201319,133,44,3,Office Supplies,Art,89,89,132,3/11/2013,Nicholas Watkins,Vienna,Austria,Central,Consumer,3/16/2013,Economy,16.3738189,48.208174299999996
AZ-2011-8128467,1112,379,2,Technology,Phones,733,733,758,12/15/2011,Thomas Stephens,Marly-le-Roi,France,Central,Corporate,12/20/2011,Economy,2.097727,48.868389
AZ-2013-5022500,278,42,6,Technology,Accessories,236,236,252,6/7/2013,Louise Walsh,Roanne,France,Central,Consumer,6/11/2013,Economy,4.0726949999999995,46.034432
BN-2014-9612123,107,-54,4,Office Supplies,Art,161,161,-216,1/28/2014,Kai Leonard,Zaanstad,Netherlands,Central,Corporate,2/1/2014,Economy,4.7510425000000005,52.4579659
BN-2014-4509327,1055,264,4,Technology,Copiers,791,791,1056,12/4/2014,Anna Macdonald,Zurich,Switzerland,Central,Consumer,12/11/2014,Economy,8.541694,47.376886600000006
BN-2013-4955166,166,-22,3,Technology,Phones,188,188,-66,11/18/2013,Phoebe Moore,Conflans-Sainte-Honorine,France,Central,Corporate,11/22/2013,Economy,2.09178,49.000275
AZ-2013-7902577,1172,322,5,Furniture,Bookcases,335,850,1610,3/23/2013,Dominic Scott,Frankfurt,Germany,Central,Consumer,3/29/2013,Economy,8.6821267,50.1109221
AZ-2013-5465324,86,18,3,Furniture,Furnishings,68,68,54,10/15/2013,Corey Browne,Hamburg,Germany,Central,Consumer,10/20/2013,Economy,9.993681800000001,53.5510846
BN-2011-6545829,22,5,2,Office Supplies,Art,17,17,10,11/10/2011,Imogen Daly,Santander,Spain,South,Consumer,11/16/2011,Economy,-3.8099803,43.4623057
AZ-2012-7790652,846,141,7,Office Supplies,Storage,46,705,987,5/14/2012,Ali Jerger,Rugby,United Kingdom,North,Corporate,5/20/2012,Economy,-1.265032,52.370878000000005
AZ-2012-9411069,25,10,3,Office Supplies,Labels,15,15,30,3/31/2012,Caitlin Schmidt,Erftstadt,Germany,Central,Corporate,4/5/2012,Economy,6.777460700000001,50.794807500000005
AZ-2014-9257351,1319,567,5,Technology,Copiers,752,752,2835,10/15/2014,Louis Wilson,Vienna,Austria,Central,Consumer,10/17/2014,Economy Plus,16.3738189,48.208174299999996
AZ-2012-4828873,53,22,2,Office Supplies,Art,31,31,44,12/31/2012,Maddison Newman,Charleroi,Belgium,Central,Corporate,12/31/2012,Immediate,4.444643,50.4108095
AZ-2014-181496,97,23,7,Office Supplies,Fasteners,74,74,161,9/5/2014,Lane Taylor,Stuttgart,Germany,Central,Corporate,9/11/2014,Economy,9.1829321,48.7758459
AZ-2014-8912005,121,19,4,Office Supplies,Art,102,102,76,6/17/2014,Katie Evenden,Lens,France,Central,Corporate,6/22/2014,Economy,2.83183,50.42893
AZ-2013-2709620,76,21,3,Office Supplies,Art,55,55,63,6/14/2013,Robert Zapata,Frankfurt,Germany,Central,Consumer,6/21/2013,Economy,8.6821267,50.1109221
BN-2012-9322615,72,10,3,Office Supplies,Supplies,62,62,30,9/28/2012,William Horton,Neuilly-Plaisance,France,Central,Consumer,9/28/2012,Immediate,2.5091419999999998,48.865204999999996
AZ-2014-6685609,284,44,6,Office Supplies,Binders,240,240,264,8/7/2014,Mason Adams,London,United Kingdom,North,Consumer,8/12/2014,Economy Plus,-0.12775830000000002,51.5073509
AZ-2011-838467,13,-8,1,Office Supplies,Paper,21,21,-8,2/2/2011,Ronald Everson,Dresden,Germany,Central,Corporate,2/5/2011,Priority,13.737262099999999,51.0504088
AZ-2013-6674334,44,-5,2,Office Supplies,Storage,49,49,-10,8/27/2013,Isabella Falkiner,Wetter (Ruhr),Germany,Central,Corporate,9/2/2013,Economy,7.391499799999999,51.386022499999996
AZ-2014-5295692,596,101,8,Technology,Phones,495,495,808,1/14/2014,Lamar Lockhart,Reutlingen,Germany,Central,Consumer,1/19/2014,Economy Plus,9.2038043,48.506938899999994
AZ-2012-1485221,108,4,9,Office Supplies,Binders,104,104,36,2/2/2012,Elijah Sodeman,Saint-Priest,France,Central,Consumer,2/6/2012,Economy,4.947071,45.698938
